teacher_uid,college_code,dept_code,name,email,password,age,qualification,experience_years
T401496569,COL-005,CSE,Raj Sharma,raj.sharma2440@rcoe.edu.in,3TdGQ4gsGt,43,Ph.D.,9
T764067938,COL-005,EEE,Vihaan Bose,vihaan.bose4835@rcoe.edu.in,mxaVcTnttN,53,Ph.D.,18
T811328083,COL-016,CSE,Sonam Sengupta,sonam.sengupta4100@hiot.edu.in,6w5nTuBJOz,52,Ph.D.,18
T777275394,COL-011,EEE,Abhinav Jain,abhinav.jain1543@mwpu.edu.in,7fmVyIITvA,49,Ph.D.,16
T759756714,COL-006,CIVIL,Akash Patel,akash.patel3591@bcoe.edu.in,y4iNxAOUcL,30,Post-Doc,5
T961371539,COL-004,ECE,Kiran Thakur,kiran.thakur5338@pu.edu.in,JMIMRLYiBc,35,M.E.,7
T420487563,COL-001,CIVIL,Prakash Patel,prakash.patel4026@vit.ac.in,miRls#A21f,44,Ph.D.,12
T658964292,COL-003,MECH,Sai Das,sai.das5638@miot.edu.in,7IS4jvTK2O,37,Post-Doc,13
T954704662,COL-010,MECH,Karthik Kulkarni,karthik.kulkarni3417@lpu.edu.in,lDF3CpUx3K,32,M.E.,7
T198168553,COL-008,MECH,Vivek Jain,vivek.jain7699@ku.edu.in,aIAzhOkgMc,34,M.E.,10
